Indnum	Household heating => 70F	Household heating < 70F	Use of heat pump	Use of air conditioner	shower - short	shower - long (> 3 min)	bath	wash-up	use of dishwasher	use of clothes washer	use of clothes dryer	use of cooking range	use of  oven	use of self-clean feature of electric oven	Small kitchen appliance in the home	TV/computer use	air travel - large plane	air travel - small  plane (<50 seats)	car trips- self only	car trips - driver and self	car trips - 2+ people with multiple end points	trips using public ground transportation	bags of garbage disposed	bags of recycling deposited (negative CF)	bags of compost deposited (negative CF)	hazardous or electric items disposed	large items disposed	QoLI
114	8.0	10.0	0.0	19.0	6.0	22.0	0.0	35.0	0.0	6.0	2.0	0.0	12.0	1.0	59.0	61.0	3475.0	0.0	341.0	20.0	19.0	19.0	27.0	0.0	0.0	0.0	2.0	7483.333333333333
115	8.0	10.0	0.0	32.0	2.0	32.0	0.0	39.0	0.0	7.0	3.0	0.0	11.0	3.0	0.0	59.0	3779.0	0.0	362.0	34.0	18.0	12.0	22.0	0.0	0.0	0.0	0.0	8065.333333333333
116	6.0	2.0	0.0	26.0	7.0	20.0	0.0	46.0	0.0	4.0	3.0	0.0	11.0	3.0	0.0	63.0	2711.0	0.0	343.0	34.0	21.0	13.0	22.0	0.0	0.0	0.0	2.0	6033.444444444444
117	4.0	7.0	0.0	24.0	8.0	33.0	0.0	47.0	0.0	7.0	3.0	0.0	12.0	4.0	0.0	62.0	3356.0	0.0	259.0	38.0	0.0	19.0	28.0	0.0	0.0	0.0	1.0	6762.2962962962965
118	3.0	3.0	0.0	30.0	7.0	23.0	0.0	52.0	0.0	2.0	3.0	0.0	12.0	4.0	0.0	62.0	2043.0	0.0	394.0	14.0	0.0	12.0	27.0	0.0	0.0	0.0	0.0	4682.481481481482
119	10.0	8.0	0.0	30.0	5.0	32.0	0.0	46.0	0.0	2.0	3.0	0.0	9.0	4.0	0.0	61.0	3270.0	0.0	312.0	17.0	0.0	19.0	26.0	0.0	0.0	0.0	2.0	7191.666666666667
120	7.0	5.0	0.0	19.0	3.0	34.0	0.0	39.0	0.0	8.0	3.0	0.0	11.0	4.0	0.0	64.0	2367.0	0.0	422.0	28.0	0.0	12.0	26.0	0.0	0.0	0.0	0.0	5702.333333333333
121	7.0	4.0	0.0	12.0	4.0	26.0	0.0	42.0	0.0	7.0	3.0	0.0	8.0	4.0	0.0	61.0	2520.0	0.0	270.0	10.0	15.0	12.0	25.0	0.0	0.0	0.0	2.0	5589.074074074074
122	6.0	1.0	0.0	31.0	5.0	19.0	0.0	54.0	0.0	6.0	1.0	0.0	9.0	4.0	0.0	58.0	3130.0	0.0	383.0	20.0	0.0	15.0	22.0	0.0	0.0	0.0	0.0	5800.407407407408
123	10.0	9.0	0.0	12.0	3.0	35.0	0.0	44.0	0.0	6.0	4.0	0.0	11.0	4.0	0.0	62.0	3841.0	0.0	378.0	33.0	0.0	14.0	28.0	0.0	0.0	0.0	2.0	8126.777777777777
124	10.0	6.0	0.0	31.0	7.0	19.0	0.0	46.0	0.0	7.0	1.0	0.0	10.0	3.0	0.0	59.0	3251.0	0.0	311.0	11.0	0.0	18.0	18.0	0.0	0.0	0.0	1.0	6061.777777777777
125	2.0	9.0	0.0	27.0	5.0	16.0	0.0	35.0	0.0	4.0	4.0	0.0	11.0	2.0	0.0	64.0	3442.0	0.0	323.0	29.0	0.0	18.0	19.0	0.0	0.0	0.0	2.0	6250.962962962963
126	9.0	10.0	-1.0	27.0	7.0	39.0	0.0	45.0	0.0	5.0	3.0	0.0	10.0	3.0	0.0	61.0	3821.0	0.0	397.0	14.0	27.0	19.0	22.0	0.0	0.0	0.0	0.0	8294.851851851852
127	6.0	5.0	0.0	13.0	5.0	32.0	0.0	32.0	0.0	4.0	4.0	0.0	8.0	4.0	0.0	58.0	3583.0	0.0	322.0	18.0	15.0	13.0	17.0	0.0	0.0	0.0	0.0	7047.555555555556
128	2.0	9.0	0.0	13.0	4.0	14.0	0.0	48.0	0.0	2.0	3.0	0.0	10.0	3.0	0.0	64.0	2530.0	0.0	367.0	40.0	0.0	17.0	27.0	0.0	0.0	1.0	2.0	5202.074074074074
129	10.0	7.0	0.0	20.0	3.0	20.0	0.0	53.0	0.0	5.0	3.0	0.0	12.0	4.0	0.0	64.0	2271.0	0.0	435.0	39.0	21.0	16.0	28.0	0.0	0.0	0.0	0.0	4905.333333333333
130	3.0	3.0	0.0	13.0	4.0	19.0	7.0	32.0	17.0	5.0	3.0	0.0	12.0	1.0	0.0	64.0	2075.0	0.0	269.0	24.0	0.0	14.0	21.0	0.0	0.0	0.0	2.0	4145.62962962963
131	8.0	4.0	0.0	28.0	8.0	20.0	3.0	52.0	0.0	6.0	3.0	0.0	10.0	3.0	0.0	59.0	3059.0	0.0	374.0	40.0	0.0	14.0	25.0	0.0	0.0	0.0	2.0	5661.037037037037
132	4.0	2.0	0.0	28.0	6.0	39.0	0.0	53.0	0.0	8.0	4.0	0.0	9.0	2.0	0.0	59.0	2658.0	0.0	387.0	19.0	11.0	18.0	20.0	0.0	2.0	0.0	0.0	5763.814814814815
133	6.0	10.0	0.0	14.0	2.0	22.0	0.0	34.0	0.0	6.0	1.0	0.0	12.0	3.0	0.0	62.0	2263.0	0.0	345.0	29.0	0.0	18.0	22.0	0.0	0.0	0.0	1.0	5273.185185185185
134	10.0	4.0	0.0	22.0	2.0	27.0	0.0	34.0	0.0	6.0	3.0	0.0	9.0	4.0	62.0	60.0	2610.0	0.0	320.0	11.0	0.0	17.0	19.0	0.0	0.0	0.0	1.0	4972.555555555556
135	6.0	6.0	0.0	32.0	6.0	31.0	0.0	40.0	15.0	2.0	4.0	0.0	9.0	3.0	0.0	58.0	2613.0	0.0	418.0	25.0	0.0	18.0	17.0	0.0	0.0	0.0	1.0	6066.074074074074
136	7.0	3.0	0.0	25.0	3.0	37.0	0.0	55.0	0.0	3.0	4.0	0.0	12.0	2.0	0.0	64.0	3714.0	0.0	286.0	33.0	23.0	13.0	21.0	0.0	0.0	0.0	0.0	6839.7037037037035
137	8.0	6.0	0.0	30.0	5.0	35.0	0.0	55.0	0.0	5.0	3.0	0.0	8.0	4.0	0.0	61.0	2986.0	0.0	260.0	30.0	20.0	19.0	17.0	0.0	0.0	0.0	1.0	5491.037037037037
138	6.0	3.0	0.0	30.0	3.0	37.0	0.0	47.0	0.0	5.0	4.0	0.0	12.0	4.0	0.0	62.0	3646.0	0.0	292.0	31.0	0.0	12.0	20.0	0.0	0.0	0.0	1.0	6505.925925925926
139	5.0	10.0	0.0	21.0	8.0	20.0	0.0	39.0	0.0	6.0	3.0	0.0	10.0	2.0	0.0	64.0	2937.0	0.0	270.0	33.0	23.0	13.0	20.0	0.0	0.0	0.0	0.0	5372.0
140	2.0	10.0	0.0	23.0	3.0	28.0	0.0	43.0	0.0	2.0	2.0	0.0	11.0	2.0	0.0	62.0	2807.0	0.0	296.0	17.0	20.0	12.0	22.0	0.0	0.0	0.0	2.0	5550.925925925926
141	7.0	7.0	0.0	20.0	7.0	35.0	0.0	32.0	0.0	3.0	3.0	0.0	11.0	3.0	0.0	62.0	2159.0	0.0	377.0	17.0	0.0	19.0	22.0	0.0	0.0	0.0	1.0	4442.666666666667
142	6.0	10.0	0.0	23.0	3.0	13.0	0.0	32.0	0.0	3.0	2.0	0.0	8.0	1.0	0.0	60.0	3255.0	0.0	435.0	39.0	0.0	14.0	28.0	0.0	0.0	0.0	0.0	7142.37037037037
143	6.0	4.0	0.0	23.0	3.0	18.0	0.0	52.0	0.0	7.0	3.0	0.0	12.0	2.0	0.0	64.0	3045.0	0.0	427.0	12.0	0.0	12.0	23.0	0.0	0.0	0.0	1.0	6902.148148148148
144	3.0	7.0	0.0	28.0	8.0	30.0	0.0	49.0	0.0	5.0	2.0	0.0	10.0	2.0	0.0	64.0	3972.0	0.0	343.0	23.0	20.0	13.0	27.0	0.0	0.0	0.0	2.0	8092.407407407408
145	10.0	8.0	0.0	18.0	7.0	21.0	0.0	41.0	0.0	3.0	4.0	0.0	12.0	3.0	0.0	59.0	2944.0	0.0	366.0	35.0	0.0	19.0	20.0	0.0	0.0	0.0	0.0	6647.666666666667
146	10.0	4.0	0.0	23.0	3.0	19.0	0.0	44.0	17.0	6.0	4.0	0.0	10.0	1.0	0.0	63.0	3270.0	0.0	405.0	21.0	14.0	14.0	28.0	0.0	0.0	0.0	0.0	6565.2962962962965
147	5.0	1.0	0.0	24.0	7.0	12.0	0.0	53.0	0.0	6.0	2.0	0.0	12.0	2.0	0.0	63.0	3200.0	400.0	368.0	30.0	0.0	19.0	19.0	0.0	0.0	0.0	0.0	6477.333333333333
148	5.0	3.0	0.0	32.0	2.0	29.0	0.0	52.0	0.0	3.0	3.0	0.0	12.0	4.0	0.0	60.0	3715.0	615.0	405.0	22.0	0.0	12.0	19.0	0.0	0.0	0.0	2.0	8849.888888888889
149	9.0	9.0	0.0	29.0	8.0	20.0	0.0	53.0	0.0	6.0	2.0	0.0	9.0	3.0	0.0	60.0	3197.0	0.0	411.0	37.0	0.0	12.0	19.0	0.0	0.0	0.0	2.0	6766.7037037037035
150	3.0	6.0	0.0	31.0	2.0	30.0	0.0	39.0	0.0	5.0	3.0	0.0	10.0	1.0	0.0	60.0	3340.0	0.0	271.0	17.0	0.0	17.0	26.0	0.0	2.0	0.0	1.0	6970.074074074074
151	3.0	3.0	0.0	12.0	3.0	18.0	0.0	39.0	0.0	2.0	1.0	0.0	12.0	1.0	0.0	60.0	2503.0	0.0	374.0	27.0	0.0	13.0	26.0	0.0	0.0	0.0	1.0	5675.814814814815
152	2.0	1.0	0.0	24.0	5.0	27.0	0.0	36.0	0.0	8.0	1.0	0.0	11.0	2.0	0.0	60.0	3377.0	0.0	376.0	10.0	0.0	17.0	25.0	0.0	0.0	0.0	2.0	7207.666666666667
153	5.0	6.0	0.0	29.0	7.0	32.0	0.0	32.0	0.0	3.0	2.0	0.0	8.0	3.0	0.0	63.0	3323.0	0.0	380.0	10.0	14.0	14.0	27.0	0.0	0.0	0.0	1.0	7154.777777777777
154	5.0	10.0	0.0	26.0	6.0	33.0	0.0	53.0	0.0	7.0	2.0	0.0	9.0	1.0	0.0	64.0	3924.0	0.0	327.0	15.0	10.0	15.0	17.0	0.0	6.0	0.0	2.0	7784.777777777777
155	6.0	3.0	0.0	14.0	2.0	15.0	0.0	52.0	0.0	8.0	2.0	0.0	9.0	4.0	0.0	63.0	3128.0	0.0	397.0	19.0	27.0	13.0	24.0	0.0	0.0	2.0	1.0	6997.962962962963
156	3.0	2.0	0.0	12.0	5.0	21.0	0.0	47.0	0.0	7.0	1.0	0.0	12.0	2.0	0.0	61.0	2990.0	0.0	312.0	36.0	0.0	17.0	26.0	0.0	0.0	0.0	1.0	5862.518518518518
157	7.0	2.0	0.0	22.0	5.0	32.0	0.0	35.0	0.0	8.0	2.0	0.0	8.0	3.0	0.0	58.0	2591.0	0.0	386.0	33.0	22.0	12.0	28.0	0.0	0.0	0.0	1.0	5421.444444444444
158	8.0	7.0	0.0	19.0	2.0	21.0	0.0	53.0	0.0	2.0	1.0	0.0	11.0	1.0	0.0	59.0	3861.0	668.0	462.0	29.0	0.0	19.0	28.0	0.0	0.0	0.0	2.0	8014.333333333333
159	2.0	9.0	0.0	15.0	6.0	13.0	4.0	33.0	0.0	5.0	4.0	0.0	9.0	1.0	0.0	64.0	3654.0	0.0	310.0	26.0	28.0	16.0	19.0	0.0	0.0	0.0	1.0	7591.444444444444
160	2.0	6.0	0.0	19.0	6.0	24.0	0.0	34.0	0.0	6.0	4.0	0.0	11.0	3.0	0.0	60.0	3589.0	0.0	260.0	16.0	0.0	17.0	27.0	0.0	0.0	0.0	1.0	7597.814814814815
161	3.0	5.0	0.0	26.0	5.0	38.0	0.0	54.0	0.0	6.0	1.0	0.0	11.0	2.0	56.0	63.0	2635.0	0.0	308.0	14.0	0.0	17.0	23.0	0.0	0.0	0.0	2.0	5106.148148148148
162	3.0	1.0	0.0	19.0	6.0	28.0	0.0	34.0	0.0	3.0	3.0	0.0	11.0	4.0	0.0	60.0	2882.0	0.0	370.0	33.0	10.0	13.0	25.0	0.0	0.0	0.0	0.0	5487.555555555556
163	9.0	5.0	0.0	16.0	4.0	31.0	0.0	38.0	0.0	6.0	2.0	0.0	8.0	2.0	61.0	64.0	2844.0	0.0	293.0	21.0	0.0	14.0	19.0	0.0	0.0	0.0	1.0	5671.7037037037035
164	7.0	6.0	0.0	22.0	4.0	12.0	0.0	39.0	0.0	5.0	3.0	0.0	10.0	4.0	0.0	62.0	3350.0	0.0	281.0	15.0	0.0	18.0	24.0	0.0	0.0	0.0	2.0	6725.222222222223
165	5.0	3.0	0.0	30.0	2.0	27.0	0.0	44.0	0.0	3.0	2.0	0.0	12.0	3.0	0.0	64.0	3654.0	0.0	432.0	20.0	0.0	12.0	22.0	0.0	0.0	0.0	0.0	7611.925925925926
166	5.0	8.0	0.0	24.0	7.0	18.0	0.0	48.0	0.0	4.0	3.0	0.0	12.0	1.0	0.0	58.0	3808.0	0.0	407.0	27.0	29.0	14.0	19.0	0.0	0.0	0.0	2.0	8086.148148148148
167	10.0	10.0	-4.0	13.0	3.0	36.0	0.0	43.0	0.0	3.0	2.0	0.0	10.0	2.0	0.0	64.0	2968.0	0.0	285.0	36.0	24.0	14.0	20.0	0.0	0.0	0.0	1.0	5720.814814814815
168	8.0	5.0	0.0	12.0	7.0	38.0	0.0	48.0	0.0	7.0	2.0	0.0	10.0	4.0	0.0	62.0	3856.0	0.0	263.0	37.0	14.0	18.0	20.0	0.0	0.0	0.0	2.0	6974.62962962963
169	3.0	10.0	0.0	19.0	6.0	21.0	0.0	32.0	0.0	8.0	1.0	0.0	10.0	1.0	0.0	64.0	2339.0	0.0	398.0	33.0	0.0	13.0	25.0	0.0	4.0	0.0	0.0	5571.2962962962965
170	7.0	9.0	-5.0	28.0	5.0	14.0	0.0	45.0	0.0	6.0	2.0	0.0	8.0	3.0	0.0	64.0	3317.0	0.0	311.0	22.0	11.0	16.0	23.0	0.0	0.0	0.0	0.0	7103.7037037037035
171	8.0	8.0	0.0	13.0	7.0	11.0	0.0	44.0	0.0	3.0	3.0	0.0	12.0	2.0	0.0	64.0	3284.0	0.0	444.0	40.0	21.0	14.0	20.0	0.0	0.0	0.0	2.0	6561.148148148148
172	5.0	5.0	0.0	25.0	7.0	17.0	4.0	55.0	0.0	7.0	4.0	0.0	10.0	2.0	0.0	59.0	3463.0	0.0	459.0	24.0	0.0	15.0	25.0	0.0	0.0	0.0	0.0	6504.2962962962965
173	6.0	5.0	0.0	18.0	5.0	10.0	0.0	36.0	0.0	6.0	2.0	0.0	12.0	3.0	0.0	63.0	2998.0	0.0	410.0	39.0	0.0	14.0	23.0	0.0	0.0	0.0	1.0	6893.37037037037
174	6.0	8.0	0.0	15.0	5.0	27.0	0.0	38.0	0.0	4.0	1.0	0.0	10.0	2.0	0.0	61.0	2152.0	0.0	379.0	40.0	0.0	18.0	26.0	0.0	0.0	0.0	0.0	5004.7037037037035
175	2.0	2.0	0.0	21.0	3.0	40.0	0.0	38.0	0.0	4.0	3.0	0.0	10.0	3.0	0.0	59.0	2211.0	0.0	343.0	12.0	0.0	13.0	25.0	0.0	0.0	0.0	1.0	4707.333333333333
176	10.0	7.0	0.0	32.0	8.0	40.0	0.0	33.0	0.0	2.0	3.0	0.0	10.0	4.0	0.0	59.0	3788.0	0.0	274.0	27.0	17.0	15.0	22.0	0.0	0.0	0.0	1.0	6926.0
177	1.0	4.0	0.0	21.0	8.0	25.0	0.0	34.0	0.0	3.0	1.0	0.0	10.0	2.0	0.0	64.0	3574.0	0.0	374.0	40.0	0.0	18.0	24.0	0.0	2.0	0.0	0.0	7573.62962962963
178	8.0	4.0	0.0	18.0	3.0	33.0	0.0	39.0	0.0	7.0	4.0	0.0	12.0	4.0	0.0	62.0	2444.0	0.0	445.0	29.0	0.0	13.0	25.0	0.0	0.0	0.0	1.0	5041.074074074074
179	4.0	3.0	0.0	26.0	2.0	38.0	0.0	50.0	0.0	5.0	4.0	0.0	10.0	3.0	0.0	60.0	3118.0	0.0	381.0	22.0	0.0	15.0	19.0	0.0	0.0	0.0	0.0	6943.185185185185
180	4.0	7.0	0.0	27.0	8.0	28.0	0.0	52.0	0.0	4.0	1.0	0.0	11.0	3.0	0.0	60.0	2787.0	0.0	458.0	11.0	23.0	18.0	18.0	0.0	0.0	0.0	2.0	6295.62962962963
181	1.0	4.0	0.0	21.0	4.0	26.0	0.0	48.0	0.0	8.0	2.0	0.0	9.0	1.0	0.0	63.0	2565.0	0.0	309.0	24.0	10.0	14.0	17.0	0.0	0.0	0.0	1.0	5708.111111111111
182	5.0	7.0	0.0	27.0	4.0	10.0	0.0	36.0	0.0	6.0	3.0	0.0	12.0	2.0	57.0	61.0	3265.0	0.0	401.0	20.0	27.0	16.0	28.0	0.0	0.0	0.0	2.0	6481.814814814815
183	7.0	5.0	0.0	23.0	5.0	12.0	0.0	47.0	0.0	8.0	4.0	0.0	10.0	3.0	0.0	62.0	2255.0	0.0	292.0	31.0	19.0	15.0	24.0	0.0	0.0	2.0	2.0	4784.185185185185
184	4.0	10.0	0.0	16.0	2.0	22.0	0.0	53.0	0.0	4.0	4.0	0.0	10.0	1.0	0.0	62.0	3789.0	0.0	294.0	18.0	0.0	17.0	23.0	0.0	0.0	0.0	2.0	7863.37037037037
185	10.0	7.0	0.0	19.0	2.0	23.0	6.0	52.0	0.0	5.0	2.0	0.0	12.0	4.0	0.0	58.0	3113.0	0.0	296.0	31.0	0.0	14.0	24.0	0.0	0.0	0.0	2.0	6521.0
186	1.0	9.0	0.0	26.0	2.0	15.0	0.0	48.0	0.0	8.0	2.0	0.0	8.0	4.0	0.0	59.0	3598.0	0.0	460.0	14.0	12.0	14.0	21.0	0.0	0.0	0.0	2.0	6942.592592592592
187	6.0	9.0	0.0	25.0	2.0	24.0	0.0	55.0	0.0	2.0	1.0	0.0	10.0	1.0	0.0	59.0	2112.0	0.0	284.0	26.0	0.0	13.0	20.0	0.0	5.0	0.0	0.0	4454.111111111111
188	3.0	6.0	0.0	17.0	4.0	37.0	0.0	37.0	0.0	5.0	4.0	0.0	8.0	2.0	0.0	60.0	2267.0	0.0	374.0	14.0	0.0	14.0	24.0	0.0	2.0	0.0	2.0	5494.111111111111
189	9.0	2.0	0.0	29.0	4.0	30.0	0.0	48.0	0.0	4.0	3.0	0.0	9.0	3.0	0.0	63.0	2769.0	0.0	320.0	22.0	0.0	16.0	23.0	0.0	2.0	0.0	0.0	5937.814814814815
190	1.0	6.0	0.0	27.0	7.0	18.0	0.0	53.0	0.0	2.0	2.0	0.0	12.0	4.0	0.0	59.0	2270.0	0.0	381.0	12.0	0.0	14.0	21.0	0.0	0.0	0.0	0.0	4469.62962962963
191	9.0	7.0	0.0	13.0	8.0	20.0	0.0	33.0	0.0	7.0	4.0	0.0	10.0	4.0	0.0	63.0	2261.0	0.0	306.0	26.0	0.0	18.0	17.0	0.0	0.0	0.0	0.0	5129.074074074074
192	9.0	5.0	0.0	12.0	6.0	15.0	0.0	49.0	0.0	2.0	4.0	0.0	10.0	1.0	0.0	61.0	3874.0	0.0	273.0	25.0	0.0	12.0	25.0	0.0	0.0	0.0	0.0	7442.148148148148
193	3.0	5.0	-3.0	14.0	2.0	27.0	0.0	44.0	0.0	3.0	2.0	0.0	9.0	4.0	0.0	64.0	3024.0	0.0	321.0	32.0	20.0	15.0	17.0	0.0	0.0	0.0	0.0	6016.259259259259
194	3.0	6.0	0.0	19.0	4.0	22.0	0.0	50.0	0.0	3.0	2.0	0.0	8.0	3.0	0.0	59.0	3385.0	0.0	438.0	10.0	0.0	12.0	23.0	0.0	0.0	0.0	1.0	7455.592592592592
195	9.0	7.0	-1.0	12.0	6.0	34.0	0.0	36.0	0.0	8.0	4.0	0.0	10.0	3.0	0.0	63.0	3881.0	0.0	376.0	22.0	11.0	17.0	28.0	0.0	2.0	1.0	0.0	7975.222222222223
196	6.0	4.0	0.0	26.0	2.0	27.0	0.0	47.0	0.0	7.0	3.0	0.0	8.0	3.0	0.0	63.0	3176.0	641.0	287.0	31.0	0.0	12.0	24.0	0.0	0.0	0.0	2.0	7214.62962962963
197	9.0	5.0	0.0	27.0	8.0	18.0	0.0	37.0	0.0	7.0	4.0	0.0	11.0	1.0	0.0	59.0	3670.0	0.0	447.0	38.0	0.0	13.0	21.0	0.0	0.0	0.0	1.0	7997.222222222223
198	1.0	8.0	0.0	14.0	3.0	24.0	0.0	32.0	0.0	3.0	1.0	0.0	10.0	1.0	0.0	59.0	2493.0	0.0	323.0	36.0	0.0	13.0	28.0	0.0	0.0	0.0	1.0	5470.037037037037
199	2.0	7.0	0.0	25.0	4.0	30.0	0.0	52.0	0.0	3.0	1.0	0.0	9.0	4.0	0.0	59.0	2613.0	0.0	325.0	34.0	0.0	13.0	18.0	0.0	0.0	0.0	1.0	5358.37037037037
200	10.0	6.0	0.0	29.0	3.0	26.0	0.0	50.0	0.0	5.0	4.0	0.0	8.0	3.0	0.0	60.0	2728.0	0.0	281.0	15.0	0.0	17.0	25.0	0.0	0.0	0.0	2.0	5229.925925925926
201	5.0	4.0	-1.0	22.0	5.0	18.0	0.0	54.0	0.0	8.0	4.0	0.0	11.0	1.0	0.0	63.0	2729.0	0.0	279.0	39.0	26.0	13.0	17.0	0.0	0.0	0.0	1.0	5850.888888888889
202	3.0	6.0	0.0	20.0	7.0	15.0	0.0	43.0	0.0	5.0	3.0	0.0	10.0	1.0	0.0	62.0	2385.0	0.0	300.0	40.0	0.0	12.0	21.0	0.0	0.0	0.0	0.0	5192.888888888889
203	2.0	10.0	0.0	15.0	4.0	24.0	0.0	36.0	0.0	5.0	1.0	0.0	10.0	3.0	0.0	58.0	2008.0	0.0	434.0	24.0	16.0	17.0	17.0	0.0	6.0	0.0	2.0	4837.740740740741
204	7.0	4.0	0.0	12.0	8.0	27.0	0.0	54.0	0.0	2.0	3.0	0.0	12.0	4.0	0.0	59.0	2921.0	0.0	452.0	24.0	0.0	14.0	26.0	0.0	0.0	0.0	0.0	6508.148148148148
205	3.0	2.0	0.0	18.0	7.0	37.0	5.0	54.0	0.0	2.0	4.0	0.0	8.0	4.0	0.0	62.0	3058.0	0.0	434.0	28.0	24.0	18.0	27.0	3.0	0.0	0.0	0.0	7226.814814814815
206	5.0	9.0	0.0	17.0	5.0	12.0	0.0	51.0	0.0	4.0	3.0	0.0	12.0	1.0	0.0	63.0	2702.0	0.0	364.0	31.0	0.0	18.0	19.0	0.0	0.0	0.0	0.0	6238.111111111111
207	9.0	8.0	0.0	24.0	7.0	38.0	0.0	36.0	0.0	5.0	1.0	0.0	9.0	3.0	0.0	62.0	2865.0	0.0	343.0	14.0	0.0	18.0	28.0	0.0	3.0	0.0	1.0	6242.111111111111
208	4.0	7.0	0.0	21.0	5.0	26.0	0.0	38.0	0.0	8.0	3.0	0.0	11.0	3.0	0.0	58.0	3585.0	0.0	429.0	34.0	0.0	12.0	19.0	0.0	0.0	0.0	1.0	7566.444444444444
209	7.0	7.0	0.0	28.0	8.0	31.0	0.0	40.0	0.0	6.0	4.0	0.0	9.0	2.0	0.0	64.0	3155.0	0.0	388.0	29.0	0.0	12.0	21.0	8.0	0.0	0.0	0.0	6911.407407407408
210	5.0	5.0	-5.0	31.0	4.0	29.0	0.0	36.0	0.0	4.0	2.0	0.0	11.0	3.0	0.0	61.0	3223.0	0.0	347.0	31.0	0.0	15.0	17.0	0.0	0.0	0.0	1.0	6971.037037037037
211	1.0	2.0	0.0	13.0	7.0	40.0	4.0	52.0	0.0	3.0	4.0	0.0	12.0	4.0	0.0	61.0	2213.0	0.0	458.0	22.0	19.0	13.0	23.0	0.0	0.0	0.0	0.0	4984.222222222223
212	1.0	9.0	0.0	26.0	5.0	19.0	0.0	41.0	0.0	8.0	4.0	0.0	12.0	1.0	0.0	60.0	2523.0	0.0	374.0	11.0	0.0	15.0	27.0	0.0	0.0	0.0	1.0	5621.0
213	6.0	9.0	0.0	32.0	5.0	29.0	0.0	51.0	0.0	7.0	1.0	0.0	11.0	2.0	0.0	64.0	3810.0	0.0	293.0	30.0	0.0	16.0	27.0	6.0	3.0	0.0	2.0	7041.407407407408
214	1.0	1.0	-1.0	20.0	2.0	13.0	0.0	35.0	0.0	6.0	4.0	0.0	11.0	4.0	0.0	63.0	2950.0	0.0	376.0	34.0	0.0	18.0	22.0	0.0	0.0	0.0	0.0	5693.518518518518
215	4.0	8.0	0.0	32.0	4.0	14.0	2.0	43.0	0.0	2.0	1.0	0.0	12.0	3.0	0.0	61.0	2735.0	0.0	412.0	29.0	0.0	14.0	19.0	0.0	0.0	0.0	2.0	5700.259259259259
216	7.0	3.0	0.0	22.0	5.0	34.0	0.0	50.0	0.0	3.0	4.0	0.0	10.0	4.0	0.0	61.0	2366.0	0.0	373.0	35.0	0.0	16.0	17.0	0.0	0.0	0.0	0.0	5352.518518518518
217	10.0	10.0	0.0	20.0	8.0	36.0	0.0	45.0	0.0	4.0	4.0	0.0	8.0	3.0	0.0	58.0	2544.0	0.0	382.0	32.0	14.0	12.0	19.0	0.0	0.0	0.0	2.0	5977.222222222223
218	3.0	10.0	0.0	19.0	6.0	22.0	0.0	45.0	0.0	5.0	3.0	0.0	8.0	2.0	0.0	63.0	2965.0	0.0	460.0	20.0	0.0	19.0	18.0	0.0	0.0	0.0	2.0	6227.037037037037
219	3.0	7.0	0.0	15.0	4.0	35.0	0.0	37.0	0.0	6.0	2.0	0.0	9.0	3.0	0.0	63.0	2162.0	0.0	378.0	29.0	25.0	19.0	27.0	0.0	0.0	0.0	2.0	4671.148148148148
220	6.0	8.0	0.0	24.0	2.0	27.0	0.0	53.0	0.0	5.0	2.0	0.0	11.0	4.0	0.0	58.0	2746.0	0.0	324.0	25.0	0.0	16.0	22.0	0.0	4.0	0.0	2.0	5990.7037037037035
221	10.0	3.0	0.0	12.0	3.0	19.0	0.0	34.0	0.0	5.0	2.0	0.0	8.0	1.0	0.0	64.0	3526.0	0.0	376.0	10.0	0.0	13.0	27.0	0.0	0.0	0.0	0.0	6669.333333333333
222	1.0	3.0	0.0	28.0	3.0	13.0	0.0	47.0	0.0	4.0	2.0	0.0	11.0	4.0	0.0	62.0	3651.0	0.0	317.0	15.0	30.0	14.0	18.0	2.0	0.0	0.0	1.0	7353.851851851852
223	8.0	5.0	0.0	16.0	6.0	18.0	0.0	42.0	0.0	6.0	3.0	0.0	10.0	1.0	0.0	63.0	3941.0	0.0	357.0	35.0	14.0	15.0	18.0	0.0	5.0	0.0	0.0	8264.111111111111
224	3.0	10.0	0.0	17.0	4.0	23.0	0.0	49.0	0.0	6.0	2.0	0.0	9.0	1.0	0.0	58.0	3610.0	0.0	260.0	26.0	24.0	12.0	28.0	0.0	4.0	0.0	2.0	7669.2962962962965
225	7.0	1.0	0.0	25.0	6.0	12.0	0.0	46.0	0.0	2.0	3.0	0.0	12.0	4.0	0.0	59.0	2466.0	0.0	391.0	13.0	28.0	12.0	28.0	0.0	0.0	0.0	0.0	5105.777777777777
226	6.0	3.0	0.0	17.0	6.0	38.0	0.0	50.0	0.0	3.0	2.0	0.0	12.0	2.0	0.0	64.0	3456.0	0.0	379.0	31.0	0.0	18.0	26.0	0.0	0.0	0.0	1.0	7003.888888888889
227	3.0	10.0	0.0	18.0	7.0	35.0	0.0	45.0	0.0	3.0	3.0	0.0	8.0	3.0	0.0	64.0	2602.0	0.0	380.0	36.0	19.0	13.0	17.0	0.0	0.0	0.0	1.0	6052.62962962963
228	3.0	2.0	0.0	16.0	6.0	20.0	0.0	46.0	0.0	7.0	2.0	0.0	10.0	2.0	0.0	61.0	3796.0	0.0	344.0	38.0	15.0	15.0	21.0	0.0	0.0	0.0	2.0	6839.37037037037
